Year,Month,TotalPrimaryEnergyConsumption,TotalPrimaryEnergyProduction,TotalPrimaryEnergyExports,TotalPrimaryEnergyImports,TotalPrimaryEnergyConsumedbytheIndustrialSector,TotalPrimaryEnergyConsumedbytheResidentialSector,PrimaryEnergyStockChange
1973,1,7223.87,5404.72,125.78,1173.08,2027.03,1339.27,771.858
1973,2,6592.37,5155.12,120.88,1168.01,1841.3,1174.9,390.129
1973,3,6521.44,5419.56,139.95,1309.47,1926.41,983.37,-67.64
1973,4,5941.73,5160.81,194.19,1085.17,1914.02,715.39,-110.067
1973,5,6071.94,5411.25,196.78,1162.8,2076.47,535.91,-305.335
1973,6,5802.68,5167.3,178.87,1129.61,1958.75,366.93,-315.356
1973,7,5951.91,5191.49,164.13,1216.25,2016.83,306.87,-291.695
1973,8,6191.66,5480.64,191.05,1297.85,2135.42,313.32,-395.78
1973,9,5773.52,5124.23,146.49,1226.15,2054.26,342.2,-430.371
1973,10,6174.86,5403.75,207.66,1315.77,2245.48,448.43,-337.003
1973,11,6519.03,5237.09,183.45,1321.81,2267.32,711.99,143.584
1973,12,6886.9,5374.45,183.86,1207.18,2224.34,987.46,489.137
1974,1,6904.04,5483.36,121.46,1083.24,1933.97,1235.95,458.905
1974,2,6314.3,5060.36,164.83,955.62,1868.86,1062.87,463.145
1974,3,6370.77,5402.7,132.22,1064.55,1919.32,912.14,35.739
1974,4,5861.07,5277.05,186.65,1156.48,1786.18,723.9,-385.81
1974,5,5864.49,5467.5,217.69,1280.71,1913.28,500.17,-666.03
1974,6,5642.25,5045.35,225.43,1211.57,1867.32,369.66,-389.243
1974,7,5985.35,5239.92,200.63,1280.33,1982.72,318.42,-334.259
1974,8,6015.5,5259.89,190.58,1260.4,2051.4,297.21,-314.204
1974,9,5711.2,5090.95,169.58,1154.42,2074.65,341.18,-364.592
1974,10,6182.02,5365,246.3,1232.62,2221.31,484.84,-169.305
1974,11,6235.55,4655.69,225.31,1305.09,2125.76,645.39,500.07
1974,12,6842.66,4960.55,122.69,1319.25,2016.98,1016.87,685.55
1975,1,7056.12,5277.9,162.77,1347.57,2079.63,1145.43,593.424
1975,2,6169,4890.06,171.42,1108.54,1644.88,1090.75,341.812
1975,3,6383.48,5230.96,199.52,1140.33,1767.04,997.79,211.704
1975,4,5797.91,5086.11,208.83,978.05,1466.5,865.72,-57.411
1975,5,5491.67,5217.41,234.23,1040.4,1547.58,526.08,-531.911
1975,6,5435.63,5105.72,215.49,1033.38,1612.57,368.3,-487.975
